Stnmr,x,y,Category,Sequence,Category_Bool,Length,QLev,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Param14,Param15,Param16,Param17,Param18,Param19,Param20,Param21,Param22,Param23,Param24,Param25,Param26,Param27,Param28,Param29,Param30,Param31,Param32,Param33,Param34,Param35,Param36,Param37,Param38,Param39,Param40,Param41,Param42,Param43,Param44,Param45,Param46,Param47,Param48,Param49,Param50,Param51,Param52,Param53,Param54,Param55,Param56,Param57,Param58,Param59,Param60,Param61,Param62,Param63,Param64,Param65,Param66,Param67,Param68,Param69,Param70,Param71,Param72,Param73,Param74,Param75,Param76,Param77,Param78,Param79,Param80,Param81,Param82,Param83,Param84,Param85,Param86,Param87,Param88,Param89,Param90,Param91,Param92,Delta_Param_1,Delta_Param_2,Delta_Param_3,Delta_Param_4,Delta_Param_5,Delta_Param_6,Delta_Param_7,Delta_Param_8,Delta_Param_9,Delta_Param_10,Delta_Param_11,Delta_Param_12,Delta_Param_13,Delta_Param_14,Delta_Param_15,Delta_Param_16,Delta_Param_17,Delta_Param_18,Delta_Param_19,Delta_Param_20,Delta_Param_21,Delta_Param_22,Delta_Param_23,Delta_Param_24,Delta_Param_25,Delta_Param_26,Delta_Param_27,Delta_Param_28,Delta_Param_29,Delta_Param_30,Delta_Param_31,Delta_Param_32,Delta_Param_33,Delta_Param_34,Delta_Param_35,Delta_Param_36,Delta_Param_37,Delta_Param_38,Delta_Param_39,Delta_Param_40,Delta_Param_41,Delta_Param_42,Delta_Param_43,Delta_Param_44,Delta_Param_45,Delta_Param_46,Delta_Param_47,Delta_Param_48,Delta_Param_49,Delta_Param_50,Delta_Param_51,Delta_Param_52,Delta_Param_53,Delta_Param_54,Delta_Param_55,Delta_Param_56,Delta_Param_57,Delta_Param_58,Delta_Param_59,Delta_Param_60,Delta_Param_61,Delta_Param_62,Delta_Param_63,Delta_Param_64,Delta_Param_65,Num_Fail_M1,SumOfDeviation_M1,Category_M1,SubCategory_M1,Outlier_M1,Category1_M1,OutBand_M1,Category1_M2,Category1_M2,Outband_M2,Outlier_M2,Threshold_M2,Weight_M2,HardBin_2_GDBN,Edge_M2
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
8,65,30,2,B_01,FALSE,77695,0.2818,12.22714,13.34792,10.1188,16.37386,19.67521,5.924275,0.3645696,1.392873,5.53482,1.334191,0.5763413,0.0611225,0.1037954,0.0699872,7.051855,0.0308108,175.7047,8.682219,0.7470818,0.106541,0.1115072,0.0750546,0.8756648,13.44272,13.2695,9.803198,16.49167,19.32206,5.924275,0.3645696,1.392873,5.53482,1.334191,1.35163,0.0611225,0.064582,0.0699872,7.091173,0.0308108,230.791,14.71822,0.7470818,0.106541,0.1115072,0.0750546,0.8756648,22.26554,20.64115,18.83732,18.298,62.68016,5.924275,0.3645696,1.392873,5.53482,1.334191,0.5605191,0.0611225,0.064582,0.0699872,7.051855,0.0308108,176.0188,8.603829,0.7470818,0.106541,0.07226,0.0356903,0.8756648,12.7369,12.75976,9.960999,17.55191,18.89044,5.924275,0.3645696,1.392873,5.53482,1.888253,0.5684302,0.0611225,0.1037954,0.0699872,7.091173,0.0308108,230.9088,14.71822,0.7864357,0.106541,0.07226,0.0356903,0.8756648,-1.215587,0.07842109,0.3156019,-0.1178049,0.3531426,0,0,0,0,0,-0.7752888,0,0.0392134,0,-0.0393181,0,-55.08627,-6.035999,0,0,0,0,0,-10.0384,-7.293228,-8.718517,-1.924137,-43.00496,0,0,0,0,0,0.01582224,0,0.0392134,0,0,0,-0.3141165,0.07838942,0,0,0.0392472,0.0393643,0,-0.5097622,0.5881628,0.1578005,-1.178043,0.7847622,0,0,0,0,-0.5540618,0.00791112,0,0,0,-0.0393181,0,-55.20406,-6.035999,-0.0393539,0,0,1,1,FALSE,TRUE,FALSE,1,TRUE,FALSE,FALSE,0.5,0.7864581,1,FALSE
6,59,31,2,B_05,FALSE,80513,0.24,11.13945,6.587102,17.14686,24.06278,60.0564,7.277235,0.3991322,2.144861,5.610256,1.46372,0.6966857,0.0915599,0.099653,0.0776256,7.37537,0.16663,78.66598,10.48081,0.8440928,0.0209326,0.1140818,0.1037266,0.8494858,11.57169,7.256278,16.36118,23.59278,60.48936,7.23798,0.3991322,2.105319,5.610256,1.46372,1.543247,0.0522006,0.099653,0.0776256,7.37537,0.16663,110.9302,17.21719,0.8440928,0.0209326,0.07468411,0.1037266,0.8494858,27.09302,15.28639,27.63583,31.58263,137.8318,7.277235,0.3991322,2.105319,5.610256,1.46372,0.6808622,0.0522006,0.099653,0.0776256,7.37537,0.16663,78.70518,10.40247,0.8440928,0.0209326,0.1140818,0.1037266,0.8494858,11.33592,6.429649,16.5576,24.4936,60.2532,7.277235,0.3991322,2.105319,5.649595,2.041679,0.688774,0.0522006,0.099653,0.0776256,7.414712,0.16663,110.9694,17.21719,0.8440928,0.0209326,0.07468411,0.1037266,0.8494858,-0.4322398,-0.6691762,0.7856898,0.4699919,-0.4329607,0.03925478,0,0.03954209,0,0,-0.8465615,0.0393593,0,0,0,0,-32.26423,-6.73638,0,0,0.0393977,0,0,-15.95357,-8.69929,-10.48896,-7.519852,-77.77536,0,0,0.03954209,0,0,0.01582358,0.0393593,0,0,0,0,-0.039205,0.07833075,0,0,0,0,0,-0.1964727,0.1574531,0.5892683,-0.4308242,-0.1967996,0,0,0.03954209,-0.0393386,-0.5779585,0.00791176,0.0393593,0,0,-0.0393419,0,-32.30344,-6.73638,0,0,0,1,1,FALSE,TRUE,FALSE,1,TRUE,FALSE,FALSE,0.5,0.8541666,1,FALSE
7,65,27,2,B_16,FALSE,`,0.2309,13.85438,14.36879,12.9779,24.22959,22.65913,6.414186,0.3728936,1.682734,5.686013,1.397728,0.6062686,0.105011,0.0750487,0.1487099,7.123923,0.0654382,75.74811,9.673708,0.791852,0.0736916,0.1188366,0.121082,0.8365587,14.40493,14.56568,13.40953,23.48259,23.05185,6.414186,0.3728936,1.682734,5.686013,1.389803,1.398608,0.0655991,0.0750487,0.1093796,7.163275,0.0654382,107.666,16.09792,0.7525732,0.0736916,0.0796377,0.121082,0.8365587,25.06195,19.33034,30.24311,31.62098,68.84288,6.414186,0.3728936,1.682734,5.646677,1.381879,0.5904218,0.0655991,0.0750487,0.1093796,7.123923,0.0261628,75.74811,9.556192,0.7525732,0.0736916,0.0796377,0.121082,0.8365587,14.20831,14.88069,13.09562,25.13386,20.81335,6.414186,0.3728936,1.682734,5.686013,1.960354,0.5904218,0.0655991,0.0750487,0.1093796,7.163275,0.0261628,107.7054,16.09792,0.7525732,0.0736916,0.0796377,0.121082,0.8365587,-0.5505467,-0.1968872,-0.4316298,0.7470027,-0.3927182,0,0,0,0,0.00792428,-0.792339,0.0394119,0,0.03933031,-0.0393512,0,-31.91788,-6.424208,0.03927882,0,0.0391989,0,0,-11.20757,-4.961553,-17.2652,-7.391388,-46.18375,0,0,0,0.03933581,0.01584855,0.01584674,0.0394119,0,0.03933031,0,0.0392754,0,0.1175161,0.03927882,0,0.0391989,0,0,-0.3539231,-0.5119061,-0.1177173,-0.9042658,1.845781,0,0,0,0,-0.5626259,0.01584674,0.0394119,0,0.03933031,-0.0393512,0.0392754,-31.95729,-6.424208,0.03927882,0,0,1,1,FALSE,TRUE,FALSE,1,TRUE,FALSE,FALSE,0.5,0.9114583,1,FALSE
7,63,34,2,B_17,FALSE,76522,0.2945,14.05101,16.10139,12.93866,25.80223,27.37175,6.807166,0.3728936,1.800436,5.725348,1.437349,0.7805832,0.105011,0.0750487,0.1487099,7.399384,0.0261628,78.34882,10.88804,0.791852,0.0736916,0.0796377,0.121082,0.8757574,13.73641,16.84956,13.21334,25.64496,27.48957,6.807166,0.3728936,1.800436,5.686013,1.429425,1.8027,0.0655991,0.0750487,0.1093796,7.399384,0.0261628,110.779,17.97817,0.7525732,0.0736916,0.0796377,0.121082,0.8757574,22.19124,24.88256,29.02669,32.32867,78.4645,6.807166,0.3728936,1.800436,5.686013,1.429425,0.7726598,0.0655991,0.0750487,0.1093796,7.399384,0.0261628,78.38823,10.84887,0.7525732,0.0736916,0.0796377,0.121082,0.8757574,14.20831,16.53455,13.64497,25.80223,26.15433,6.807166,0.3728936,1.800436,5.725348,2.0079,0.7726598,0.0655991,0.0750487,0.1093796,7.399384,0.0261628,110.779,17.97817,0.7525732,0.0736916,0.0796377,0.121082,0.8757574,0.3145989,-0.7481705,-0.274674,0.1572631,-0.117816,0,0,0,0.03933581,0.00792439,-1.022117,0.0394119,0,0.03933031,0,0,-32.43015,-7.090133,0.03927882,0,0,0,0,-8.140233,-8.781161,-16.08803,-6.526439,-51.09274,0,0,0,0.03933581,0.00792439,0.0079234,0.0394119,0,0.03933031,0,0,-0.0394061,0.03917236,0.03927882,0,0,0,0,-0.1572995,-0.4331525,-0.7063039,0,1.217429,0,0,0,0,-0.5705502,0.0079234,0.0394119,0,0.03933031,0,0,-32.43015,-7.090133,0.03927882,0,0,1,1,FALSE,TRUE,FALSE,1,TRUE,FALSE,FALSE,0.5,0.6041666,1,TRUE
1,60,17,2,B_20,FALSE,78178,0.1873,7.770939,7.86005,12.80743,8.156928,32.8041,6.253326,0.3465474,1.658698,5.678069,1.396436,0.7293042,0.0600655,0.0532864,0.102406,7.131696,0.0609758,75.04483,10.5769,0.7432618,0.0334624,0.089889,0.0513807,0.882929,7.494323,7.0693,12.33359,7.92024,34.88995,6.253326,0.3465474,1.658698,5.678069,1.396436,1.591719,0.0600655,0.0532864,0.102406,7.131696,0.0609758,106.3139,16.69399,0.7432618,0.0729492,0.089889,0.0513807,0.9220785,14.48874,10.2323,11.93872,23.69944,43.31207,6.253326,0.3465474,1.658698,5.678069,1.388513,0.7134801,0.0600655,0.0532864,0.102406,7.131696,0.0609758,75.04483,10.49797,0.7432618,0.0334624,0.089889,0.0513807,0.882929,7.849972,7.306525,12.53103,8.354168,33.39443,6.253326,0.3465474,1.658698,5.678069,1.95108,0.7134801,0.0600655,0.0532864,0.102406,7.131696,0.0609758,106.3139,16.69399,0.7036915,0.0334624,0.089889,0.0513807,0.882929,0.2766154,0.7907497,0.4738411,0.2366882,-2.08585,0,0,0,0,0,-0.8624146,0,0,0,0,0,-31.26903,-6.117091,0,-0.0394868,0,0,-0.0391495,-6.717805,-2.37225,0.8687079,-15.54251,-10.50797,0,0,0,0,0.00792346,0.0158241,0,0,0,0,0,0,0.07892959,0,0,0,0,0,-0.079033,0.5535246,0.2764072,-0.1972402,-0.5903356,0,0,0,0,-0.5546436,0.0158241,0,0,0,0,0,-31.26903,-6.117091,0.03957027,0,0,1,1,FALSE,TRUE,FALSE,1,TRUE,FALSE,FALSE,0.5,0.9270833,1,FALSE
6,51,29,2,A_12,FALSE,72240,0.2527,12.04322,9.185079,18.8361,30.56431,64.74024,8.062335,0.3991322,2.382114,5.728272,1.582479,1.06854,0.0915599,0.1391392,0.0776256,8.673649,0.1273,82.5863,15.2981,0.8440928,0.0209326,0.1140818,0.1431028,0.8888135,12.947,9.224442,19.77893,29.46767,65.1732,8.062335,0.3991322,2.382114,5.728272,1.582479,2.199926,0.0915599,0.099653,0.0776256,8.673649,0.1273,115.1642,22.81778,0.8046976,0.0209326,0.1140818,0.1431028,0.8888135,19.90213,18.00246,30.03218,37.45751,136.3754,8.062335,0.3991322,2.382114,5.728272,1.582479,1.060628,0.0522006,0.099653,0.0776256,8.673649,0.1273,82.6255,15.21977,0.8046976,0.0209326,0.1140818,0.1431028,0.8888135,12.08252,9.421259,19.22894,30.68181,64.34664,8.023081,0.3991322,2.382114,5.728272,2.168354,1.060628,0.0522006,0.099653,0.0776256,8.712991,0.1273,115.2034,22.85695,0.8046976,0.0209326,0.1140818,0.1431028,0.8888135,-0.9037741,-0.0393633,-0.9428281,1.096645,-0.4329607,0,0,0,0,0,-1.131386,0,0.0394862,0,0,0,-32.57786,-7.519679,0.03939518,0,0,0,0,-7.858901,-8.81738,-11.19608,-6.893197,-71.6352,0,0,0,0,0,0.00791182,0.0393593,0.0394862,0,0,0,-0.0391975,0.07832982,0.03939518,0,0,0,0,-0.0392953,-0.2361797,-0.3928449,-0.1174975,0.3935993,0.03925432,0,0,0,-0.5858757,0.00791182,0.0393593,0.0394862,0,-0.0393419,0,-32.61706,-7.558845,0.03939518,0,0,1,1,FALSE,TRUE,FALSE,1,TRUE,FALSE,FALSE,0.5,0.7235773,1,TRUE
8,71,30,2,A_20,FALSE,62579,0.2873,17.32476,21.38615,18.71897,28.42917,25.09006,8.20153,0.4038284,2.337998,5.73132,1.650798,1.288341,0.0611225,0.1037954,0.1487264,7.838221,0.0701144,85.83126,18.08897,0.8257896,0.0670949,0.1115072,0.0750546,0.9542364,17.67767,20.91562,19.35017,29.01819,24.50149,8.20153,0.4038284,2.337998,5.73132,1.642882,2.546208,0.0611225,0.1037954,0.1487264,7.838221,0.0701144,119.5191,26.08471,0.8257896,0.106541,0.1115072,0.0356903,0.9149506,28.06899,25.8562,28.81824,31.76696,41.96245,8.20153,0.4038284,2.337998,5.73132,1.634967,1.272519,0.0611225,0.1037954,0.1487264,7.838221,0.0701144,85.87052,17.93219,0.8257896,0.106541,0.1115072,0.0356903,0.9149506,18.42271,21.543,20.80983,29.136,21.40168,8.20153,0.4038284,2.337998,5.73132,2.244435,1.28043,0.0611225,0.1037954,0.1487264,7.838221,0.0701144,119.5583,26.08471,0.8257896,0.0670949,0.1115072,0.0356903,0.9149506,-0.3529117,0.4705302,-0.6312057,-0.5890224,0.5885717,0,0,0,0,0.00791519,-1.257867,0,0,0,0,0,-33.68782,-7.995739,0,-0.0394461,0,0.0393643,0.03928581,-10.74423,-4.470043,-10.09928,-3.337789,-16.87239,0,0,0,0,0.01583039,0.01582212,0,0,0,0,0,-0.0392571,0.1567788,0,-0.0394461,0,0.0393643,0.03928581,-1.097949,-0.156844,-2.090866,-0.7068273,3.68838,0,0,0,0,-0.5936378,0.00791112,0,0,0,0,0,-33.72709,-7.995739,0,0,0,1,3,FALSE,TRUE,FALSE,3,TRUE,FALSE,FALSE,0.5,0.6023392,1,TRUE
4,74,18,2,A_23,FALSE,59906,0.2545,8.76774,7.911624,11.83914,15.69572,30.9492,8.637444,0.4138111,2.547074,5.669637,1.680822,1.276096,0.1307592,0.1129428,0.1016015,9.719175,0.0827614,88.28523,19.28637,0.788794,0.128169,0.14148,0.0549968,0.9002151,8.49295,8.147382,11.20877,15.97124,31.61826,8.637444,0.4138111,2.547074,5.669637,1.672902,2.422875,0.0913428,0.1129428,0.1016015,9.758398,0.0827614,123.5375,27.75026,0.788794,0.128169,0.1019616,0.0549968,0.9002151,10.41648,10.2692,12.66651,18.05733,48.34473,8.637444,0.4138111,2.547074,5.669637,1.672902,1.268187,0.0913428,0.1129428,0.1016015,9.719175,0.0827614,88.32449,19.24701,0.788794,0.128169,0.1019616,0.0549968,0.9002151,9.356576,8.343846,11.32696,16.24676,30.044,8.637444,0.4138111,2.547074,5.669637,2.290638,1.268187,0.0913428,0.1129428,0.1016015,9.758398,0.0827614,123.5375,27.78962,0.788794,0.0886928,0.1019616,0.0549968,0.9002151,0.2747895,-0.2357578,0.6303778,-0.2755206,-0.6690603,0,0,0,0,0.00791962,-1.146779,0.0394164,0,0,-0.0392227,0,-35.25225,-8.463883,0,0,0.0395184,0,0,-1.64874,-2.35758,-0.8273702,-2.361607,-17.39553,0,0,0,0,0.00791962,0.00790879,0.0394164,0,0,0,0,-0.0392571,0.03936701,0,0,0.0395184,0,0,-0.5888361,-0.4322222,0.5121818,-0.5510412,0.9051971,0,0,0,0,-0.6098163,0.00790879,0.0394164,0,0,-0.0392227,0,-35.25225,-8.503251,0,0,0,1,1,FALSE,TRUE,FALSE,1,TRUE,FALSE,FALSE,0.5,0.75,1,TRUE
5,53,32,2,B_01,FALSE,76163,0.2818,15.00984,10.88365,16.05174,24.2827,23.00877,6.598657,0.37708,1.765111,5.694656,1.446724,0.863055,0.1247174,0.08301,0.1006208,7.373353,0.0318828,76.99926,11.54127,0.7362249,0.047192,0.1482725,0.0429358,0.9149208,15.79912,10.56788,15.18152,24.87653,23.24432,6.598657,0.37708,1.765111,5.694656,1.446724,1.909008,0.1247174,0.08301,0.061384,7.373353,0.0318828,109.3771,18.71036,0.7362249,0.047192,0.108725,0.0429358,0.9149208,17.02251,21.7779,30.05435,30.53764,49.07714,6.598657,0.37708,1.765111,5.694656,1.446724,0.8392833,0.1247174,0.08301,0.1006208,7.373353,0.0318828,76.99926,11.4231,0.7362249,0.047192,0.108725,0.0429358,0.9149208,15.16769,9.857386,15.26063,24.00558,25.12878,6.598657,0.37708,1.765111,5.694656,2.024872,0.8472072,0.1247174,0.08301,0.1006208,7.412623,0.0318828,109.3771,18.71036,0.7362249,0.047192,0.108725,0.0429358,0.9149208,-0.7892847,0.3157752,0.8702185,-0.5938224,-0.2355576,0,0,0,0,0,-1.045953,0,0,0.03923679,0,0,-32.37784,-7.169089,0,0,0.03954751,0,0,-2.012674,-10.89424,-14.00261,-6.254936,-26.06838,0,0,0,0,0,0.02377166,0,0,0,0,0,0,0.1181718,0,0,0.03954751,0,0,-0.1578573,1.026269,0.7911082,0.2771188,-2.120018,0,0,0,0,-0.5781482,0.01584779,0,0,0,-0.0392706,0,-32.37784,-7.169089,0,0,0,1,1,FALSE,TRUE,FALSE,1,TRUE,FALSE,FALSE,0.5,0.7256637,1,TRUE
